product_name,product_price,product_link
"Samsung Galaxy A15 6.6"" 4G LTE (4GB RAM + 128GB ROM) - 50 Mpx - Jaune",1699.0,https://www.jumia.ma/samsung-galaxy-a15-6.6-4g-lte-4gb-ram-128gb-rom-50-mpx-jaune-65585524.html
"Samsung Galaxy S24 Noir (8 Go RAM / 128 Go) Ecran Dynamic AMOLED 2X 120Hz 6.2"" inch -New",7499.0,https://www.jumia.ma/samsung-galaxy-s24-noir-8-go-ram-128-go-ecran-dynamic-amoled-2x-120hz-6.2-inch-new-64722276.html
Samsung Galaxy S24 Ultra SM-S928B Titanium Noir (12Go / 512 Go) Dynamic AMOLED 2x - Neuf,13999.0,https://www.jumia.ma/samsung-galaxy-s24-ultra-sm-s928b-titanium-noir-12go-512-go-dynamic-amoled-2x-neuf-64856069.html
"Samsung Galaxy A05s - 6,7"" - 6GB+128GB - Mauve",1683.0,https://www.jumia.ma/samsung-galaxy-a05s-67-6gb128gb-mauve-64720003.html
"Samsung Galaxy S21 5G ( 256Go, 8Go ) Violet 6.2"" - Remis à Neuf",3600.0,https://www.jumia.ma/samsung-galaxy-s21-5g-256go-8go-violet-6.2-remis-a-neuf-65569225.html
Samsung Galaxy A54 5G - 6.5'' - (8GB - 256GB)  -50MP+12MP+5MP+/32MP - Vert,4190.0,https://www.jumia.ma/galaxy-a54-5g-6.5-8gb-128gb-50mp12mp5mp32mp-vert-samsung-mpg1400092.html
"Samsung Galaxy A25 5G  6.3"" (6GB RAM + 128GB ROM) - 50 Mpx - Bleu",2590.0,https://www.jumia.ma/samsung-galaxy-a25-5g-6.3-6gb-ram-128gb-rom-50-mpx-bleu-64765996.html
Samsung Galaxy A54 5G - 6.5'' - (8GB - 256GB) -50MP+12MP+5MP+/32MP - Noir,4480.0,https://www.jumia.ma/samsung-galaxy-a54-5g-6.5-8gb-256gb-50mp12mp5mp32mp-noir-65127535.html
"Samsung Galaxy A05 - 6.7"" - 4GB + 128GB - Noir",1245.0,https://www.jumia.ma/samsung-galaxy-a05-6.7-4gb-128gb-noir-64473018.html
"Samsung Galaxy A05 - 6.7"" - 4GB + 128GB - Silver",1245.0,https://www.jumia.ma/samsung-galaxy-a05-6.7-4gb-128gb-silver-64473019.html
"Samsung Galaxy A05 - 6.7"" - 4GB + 128GB - Vert clair",1245.0,https://www.jumia.ma/samsung-galaxy-a05-6.7-4gb-128gb-vert-clair-64473020.html
Samsung Galaxy A15 - 8G + 256GB - Noir,2188.0,https://www.jumia.ma/samsung-galaxy-a15-8g-256gb-noir-64585523.html
"Samsung A05s - 6,7"" - 6GB+128GB - Silver",1729.0,https://www.jumia.ma/samsung-a05s-67-6gb128gb-silver-64585529.html
"Samsung A05s - 6,7"" - 6GB+128GB - Noir",1729.0,https://www.jumia.ma/samsung-a05s-67-6gb128gb-noir-64585527.html
"Samsung A05s - 6,7"" - 6GB+128GB - Mauve",1729.0,https://www.jumia.ma/samsung-a05s-67-6gb128gb-mauve-64585528.html
"Samsung Galaxy M23 5G - 6.6"" - 4GB RAM+128GB ROM - 50Mpx - Light Blue",1837.0,https://www.jumia.ma/samsung-galaxy-m23-5g-6.6-4gb-ram128gb-rom-50mpx-light-blue-58273861.html
Samsung Galaxy A15 - 4G + 128GB - Noir,1699.0,https://www.jumia.ma/samsung-galaxy-a15-4g-128gb-noir-64585520.html
Samsung Galaxy A15 - 4G + 128GB - Bleu,1699.0,https://www.jumia.ma/samsung-galaxy-a15-4g-128gb-bleu-64585519.html
"Samsung Galaxy S22 Ultra - 6.8"" - 12GB + 256GB - Noir",8990.0,https://www.jumia.ma/samsung-galaxy-s22-ultra-6.8-12gb-256gb-noir-64722271.html
"Samsung Galaxy S22 Ultra - 6.8"" - 12GB + 256GB - White",8990.0,https://www.jumia.ma/samsung-galaxy-s22-ultra-6.8-12gb-256gb-white-64722273.html
"Samsung Galaxy A15 - 6.5"" – 8G + 256GB - Noir",2189.0,https://www.jumia.ma/samsung-galaxy-a15-6.5-8g-256gb-noir-64720015.html
Samsung Galaxy S23 Ultra 12 Go Ram + 256 Go Rom - Green,11219.0,https://www.jumia.ma/samsung-galaxy-s23-ultra-12-go-ram-256-go-rom-green-64723531.html
